Book_ID,Title,Authors,Total_Pages,No. of Reviews,Average_Rating,No. of Ratings,ISBN,ISBN13,Language,Genres
24280,Les Misérables,Victor Hugo,1463,19412,4.19,732834,,,English,"['Classics', 'Fiction', 'Historical', 'Historical Fiction', 'Literature', 'Cultural', 'France', 'Historical', 'Novels', 'European Literature', 'French Literature', 'Romance', 'Classics', 'Classic Literature']"
13335037,Divergent,Veronica Roth,487,112512,4.17,3362700,62024035,9.78E+12,English,"['Young Adult', 'Science Fiction', 'Dystopia', 'Fiction', 'Fantasy', 'Science Fiction', 'Romance', 'Adventure', 'Young Adult', 'Teen', 'Action', 'Apocalyptic', 'Post Apocalyptic']"
4671,The Great Gatsby,F. Scott Fitzgerald,200,80082,3.93,4348045,,,English,"['Classics', 'Fiction', 'Academic', 'School', 'Historical', 'Historical Fiction', 'Literature', 'Romance', 'Novels', 'Academic', 'Read For School', 'Young Adult', 'High School', 'Literature', 'American']"
18144590,The Alchemist,Paulo Coelho,182,94955,3.89,2474395,62315005,9.78E+12,English,"['Fiction', 'Classics', 'Fantasy', 'Philosophy', 'Novels', 'Spirituality', 'Self Help', 'Literature', 'Adventure', 'Inspirational']"
7144,Crime and Punishment,Fyodor Dostoevsky,671,24302,4.24,728464,143058142,9.78E+12,English,"['Classics', 'Fiction', 'Cultural', 'Russia', 'Literature', 'Literature', 'Russian Literature', 'Philosophy', 'Novels', 'Mystery', 'Crime', 'Literature', '19th Century', 'Academic', 'School']"
7624,Lord of the Flies,William Golding,182,43810,3.69,2527892,140283331,9.78E+12,English,"['Classics', 'Fiction', 'Young Adult', 'Academic', 'School', 'Literature', 'Science Fiction', 'Dystopia', 'Academic', 'Read For School', 'Novels', 'Young Adult', 'High School', 'Adventure']"
157993,The Little Prince,Antoine de Saint-Exupéry,96,49790,4.31,1675784,,,English,"['Classics', 'Fiction', 'Fantasy', 'Childrens', 'Cultural', 'France', 'Philosophy', 'Young Adult', 'Literature', 'Childrens', 'Middle Grade', 'European Literature', 'French Literature']"
18135,Romeo and Juliet,William Shakespeare,281,22913,3.75,2282280,,,English,"['Classics', 'Plays', 'Fiction', 'Romance', 'Academic', 'School', 'Drama', 'Academic', 'Read For School', 'Literature', 'Young Adult', 'High School', 'Poetry']"
256683,City of Bones,Cassandra Clare,485,67653,4.09,1799343,1416914285,9.78E+12,English,"['Fantasy', 'Young Adult', 'Fantasy', 'Paranormal', 'Romance', 'Fantasy', 'Urban Fantasy', 'Fiction', 'Paranormal', 'Vampires', 'Fantasy', 'Supernatural', 'Paranormal', 'Angels', 'Young Adult', 'Young Adult Fantasy']"
8127,Anne of Green Gables,L.M. Montgomery,320,28742,4.28,835571,451528824,9.78E+12,English,"['Classics', 'Fiction', 'Young Adult', 'Childrens', 'Historical', 'Historical Fiction', 'Childrens', 'Middle Grade', 'Historical', 'Audiobook', 'Cultural', 'Canada', 'Young Adult', 'Coming Of Age']"
4667024,The Help,Kathryn Stockett,464,86655,4.46,2410514,399155341,9.78E+12,English,"['Fiction', 'Historical', 'Historical Fiction', 'Historical', 'Adult', 'Adult Fiction', 'Contemporary', 'Classics', 'Audiobook', 'Book Club', 'Womens Fiction', 'Chick Lit']"
28187,The Lightning Thief,Rick Riordan,377,72623,4.28,2376705,,,English,"['Fantasy', 'Young Adult', 'Fantasy', 'Mythology', 'Fiction', 'Childrens', 'Middle Grade', 'Adventure', 'Childrens', 'Mythology', 'Greek Mythology', 'Fantasy', 'Urban Fantasy', 'Young Adult', 'Young Adult Fantasy']"
375802,Ender's Game,Orson Scott Card,324,45466,4.3,1236991,812550706,9.78E+12,English,"['Science Fiction', 'Young Adult', 'Fantasy', 'Classics', 'Science Fiction Fantasy', 'Science Fiction', 'Dystopia', 'War', 'Audiobook', 'Adventure', 'Novels']"
24178,Charlotte's Web,E.B. White,184,20281,4.18,1598275,64410935,9.78E+12,English,"['Classics', 'Childrens', 'Fiction', 'Young Adult', 'Fantasy', 'Animals', 'Childrens', 'Middle Grade', 'Academic', 'School', 'Childrens', 'Juvenile', 'Childrens', 'Chapter Books']"
890,Of Mice and Men,John Steinbeck,112,40161,3.88,2184618,142000671,9.78E+12,English,"['Classics', 'Fiction', 'Academic', 'School', 'Historical', 'Historical Fiction', 'Literature', 'Academic', 'Read For School', 'Novels', 'Young Adult', 'High School', 'Literature', 'American', 'Historical']"
17245,Dracula,Bram Stoker,488,32158,4,1065115,393970124,9.78E+12,English,"['Classics', 'Horror', 'Fiction', 'Fantasy', 'Paranormal', 'Vampires', 'Gothic', 'Fantasy', 'Paranormal', 'Literature', 'Audiobook', 'Literature', '19th Century']"
18619684,The Time Traveler's Wife,Audrey Niffenegger,500,49160,3.98,1668653,,9.78E+12,English,"['Fiction', 'Romance', 'Fantasy', 'Science Fiction', 'Time Travel', 'Science Fiction', 'Contemporary', 'Adult', 'Womens Fiction', 'Chick Lit', 'Adult Fiction', 'Magical Realism']"
5129,Brave New World,Aldous Huxley,268,36613,3.99,1612295,60929871,9.78E+12,English,"['Classics', 'Fiction', 'Science Fiction', 'Science Fiction', 'Dystopia', 'Literature', 'Novels', 'Academic', 'School', 'Fantasy', 'Philosophy', 'Science Fiction Fantasy']"
320,One Hundred Years of Solitude,Gabriel García Márquez,417,35711,4.1,839023,,,English,"['Fiction', 'Classics', 'Magical Realism', 'Literature', 'Novels', 'Fantasy', 'Historical', 'Historical Fiction', 'European Literature', 'Spanish Literature', 'Literary Fiction', 'Cultural', 'Latin American']"
5107,The Catcher in the Rye,J.D. Salinger,277,66585,3.81,3058921,316769177,9.78E+12,English,"['Classics', 'Fiction', 'Young Adult', 'Literature', 'Academic', 'School', 'Novels', 'Young Adult', 'Coming Of Age', 'Young Adult', 'High School', 'Literature', 'American', 'Academic', 'Read For School']"
21787,The Princess Bride,William Goldman,456,22285,4.26,834641,345418263,9.78E+12,English,"['Fantasy', 'Fiction', 'Classics', 'Romance', 'Humor', 'Young Adult', 'Adventure', 'Humor', 'Comedy', 'Science Fiction Fantasy', 'Fantasy', 'Fairy Tales']"
128029,A Thousand Splendid Suns,Khaled Hosseini,372,62081,4.4,1301533,1594489505,9.78E+12,English,"['Fiction', 'Historical', 'Historical Fiction', 'Contemporary', 'Novels', 'Historical', 'War', 'Adult', 'Adult Fiction', 'Drama', 'Classics']"
2998,The Secret Garden,Frances Hodgson Burnett,331,22399,4.14,1011147,517189607,9.78E+12,English,"['Classics', 'Fiction', 'Childrens', 'Young Adult', 'Historical', 'Historical Fiction', 'Childrens', 'Middle Grade', 'Fantasy', 'Historical', 'Literature', 'Audiobook']"
13496,A Game of Thrones,George R.R. Martin,835,57181,4.44,2203631,553588486,9.78E+12,English,"['Fantasy', 'Fiction', 'Fantasy', 'Epic Fantasy', 'Adult', 'Fantasy', 'High Fantasy', 'Science Fiction Fantasy', 'Adventure', 'Audiobook', 'Fantasy', 'Dragons', 'Epic']"
