Book_ID,Title,Authors,Total_Pages,No. of Reviews,Average_Rating,No. of Ratings,ISBN,ISBN13,Language,Genres
29986740,A Merciful Death,Kendra Elliot,353,1843,4.14,47413,,B01EN506CO,English,"['Mystery', 'Thriller', 'Romance', 'Romantic Suspense', 'Fiction', 'Romance', 'Suspense', 'Mystery', 'Crime', 'Thriller', 'Mystery Thriller', 'Contemporary', 'Audiobook']"
338691,Still Life,Louise Penny,293,15689,3.89,188714,312948557,9.78031E+12,English,"['Mystery', 'Fiction', 'Mystery', 'Crime', 'Thriller', 'Mystery Thriller', 'Audiobook', 'Cultural', 'Canada', 'Adult', 'Thriller', 'Adult Fiction', 'Mystery', 'Detective']"
24968392,Beyond the Kingdoms,Chris Colfer,433,2064,4.47,36392,,B00T3E79BM,English,"['Fantasy', 'Childrens', 'Middle Grade', 'Fiction', 'Young Adult', 'Childrens', 'Adventure', 'Fantasy', 'Fairy Tales', 'Fantasy', 'Magic', 'Retellings', 'Audiobook']"
88432,Life and Fate,Vasily Grossman,864,1151,4.41,10216,99506165,9.7801E+12,English,"['Fiction', 'Cultural', 'Russia', 'Historical', 'Historical Fiction', 'Classics', 'Literature', 'Russian Literature', 'War', 'Literature', 'War', 'World War II', 'Novels', 'Literature', '20th Century']"
18812405,The Good Girl,Mary Kubica,352,16060,3.82,213624,778316556,9.78078E+12,English,"['Mystery', 'Fiction', 'Thriller', 'Thriller', 'Mystery Thriller', 'Suspense', 'Audiobook', 'Mystery', 'Crime', 'Adult', 'Contemporary', 'Thriller', 'Psychological Thriller']"
204042,"Naruto, Vol. 1",Masashi Kishimoto,187,2212,4.41,170946,1569319006,9.78157E+12,English,"['Sequential Art', 'Manga', 'Fantasy', 'Sequential Art', 'Comics', 'Sequential Art', 'Graphic Novels', 'Fiction', 'Young Adult', 'Media Tie In', 'Anime', 'Adventure', 'Comics Manga', 'Action']"
32979,The Secret of the Old Clock,Carolyn Keene,210,4134,3.98,72026,1557091552,9.78156E+12,English,"['Mystery', 'Young Adult', 'Fiction', 'Classics', 'Childrens', 'Childrens', 'Middle Grade', 'Thriller', 'Mystery Thriller', 'Childrens', 'Juvenile', 'Adventure', 'Mystery', 'Crime']"
316943,Selected Poems,Robert Frost,224,213,4.17,5263,517072459,9.78052E+12,English,"['Poetry', 'Classics', 'Literature', 'Nonfiction', 'Literature', 'American', 'Academic', 'School', 'Literature', '20th Century', 'Anthologies', 'Collections', 'Environment', 'Nature', 'The United States Of America']"
40988046,"Stop! Don't Read This, It's Impossible!",Malcolm McCoard,244,10,4.71,77,1717848443,9.78172E+12,English,"['Fantasy', 'Childrens', 'Young Adult']"
48132,My Family and Other Animals,Gerald Durrell,273,3911,4.16,48234,142004413,9.78014E+12,English,"['Nonfiction', 'Autobiography', 'Memoir', 'Biography', 'Humor', 'Animals', 'Travel', 'Classics', 'Environment', 'Nature', 'Cultural', 'Greece', 'Biography', 'Autobiography']"
10345937,Shades of Earth,Beth Revis,369,3730,4.08,32689,1595143998,9.7816E+12,English,"['Young Adult', 'Science Fiction', 'Science Fiction', 'Dystopia', 'Romance', 'Fantasy', 'Fiction', 'Space', 'Mystery', 'Science Fiction', 'Aliens', 'Adventure']"
831194,Forest of Secrets,Erin Hunter,312,1647,4.42,46800,60525614,9.78006E+12,English,"['Fantasy', 'Animals', 'Fiction', 'Childrens', 'Middle Grade', 'Childrens', 'Young Adult', 'Adventure', 'Animals', 'Cats', 'Animals', 'Animal Fiction', 'Novels']"
18713259,Worm,Wildbow,6680,820,4.62,7277,,,English,"['Fantasy', 'Science Fiction', 'Fiction', 'Comics', 'Superheroes', 'Fantasy', 'Urban Fantasy', 'Science Fiction', 'Dystopia', 'Young Adult', 'Unfinished', 'Horror', 'Science Fiction Fantasy']"
22843341,Stepbrother Dearest,Penelope Ward,230,6104,4.07,63690,1502446936,9.7815E+12,English,"['Romance', 'New Adult', 'Contemporary', 'Romance', 'Contemporary Romance', 'Adult Fiction', 'Erotica', 'Adult', 'Young Adult', 'Young Adult', 'High School', 'Sociology', 'Abuse', 'Fiction']"
10584,Desperation,Stephen King,547,3102,3.84,128686,,,English,"['Horror', 'Fiction', 'Thriller', 'Fantasy', 'Suspense', 'Fantasy', 'Supernatural', 'Fantasy', 'Paranormal', 'Audiobook', 'Novels', 'Adult']"
20342617,Just Mercy,Bryan Stevenson,336,21974,4.61,188565,,,English,"['Nonfiction', 'Autobiography', 'Memoir', 'Social Movements', 'Social Justice', 'Race', 'Politics', 'History', 'Audiobook', 'Law', 'Biography', 'Race', 'Anti Racist']"
33313,Kitchen Confidential,Anthony Bourdain,312,13877,4.1,259698,60899220,9.78006E+12,English,"['Nonfiction', 'Food and Drink', 'Food', 'Autobiography', 'Memoir', 'Biography', 'Food and Drink', 'Cooking', 'Audiobook', 'Biography', 'Autobiography', 'Biography Memoir', 'Humor', 'Food and Drink', 'Foodie']"
148465,Forever,Pete Hamill,613,1602,3.95,11981,316735698,9.78032E+12,English,"['Fiction', 'Historical', 'Historical Fiction', 'Fantasy', 'New York', 'Historical', 'Magical Realism', 'Science Fiction', 'Time Travel', 'Cultural', 'Ireland', 'Adult Fiction', 'Novels']"
2402971,The Magician,Michael Scott,464,3108,4.1,90854,385733585,9.78039E+12,English,"['Fantasy', 'Young Adult', 'Fiction', 'Fantasy', 'Magic', 'Fantasy', 'Mythology', 'Adventure', 'Fantasy', 'Urban Fantasy', 'Young Adult', 'Young Adult Fantasy', 'Young Adult', 'Teen', 'Audiobook']"
954674,Little Brother,Cory Doctorow,382,5700,3.93,49115,765319853,9.78077E+12,English,"['Young Adult', 'Science Fiction', 'Fiction', 'Science Fiction', 'Dystopia', 'Science Fiction', 'Cyberpunk', 'Young Adult', 'Teen', 'Science', 'Technology', 'Thriller', 'Politics', 'Speculative Fiction']"
17977415,Ethereal Fury,Jessica O'Gorek,263,113,3.93,212,925776254,9.78093E+12,English,"['Fantasy', 'Paranormal', 'Fantasy', 'Young Adult', 'Science Fiction', 'Romance', 'Science Fiction', 'Dystopia', 'Romance', 'Paranormal Romance', 'Fiction', 'Paranormal', 'Demons']"
15789823,Struck By Lightning,Chris Colfer,272,1601,3.82,12962,1619698366,9.78162E+12,English,"['Young Adult', 'Contemporary', 'Fiction', 'Realistic Fiction', 'Humor', 'Young Adult', 'Teen', 'Young Adult', 'Coming Of Age', 'LGBT', 'Audiobook', 'Young Adult', 'Young Adult Contemporary']"
1809465,Rodrick Rules,Jeff Kinney,226,7818,4.14,157473,810994739,9.78081E+12,English,"['Fiction', 'Humor', 'Childrens', 'Childrens', 'Middle Grade', 'Realistic Fiction', 'Sequential Art', 'Graphic Novels', 'Young Adult', 'Humor', 'Comedy', 'Sequential Art', 'Comics', 'Contemporary']"
25373,Nick & Norah's Infinite Playlist,Rachel Cohn,183,5021,3.7,83669,375835318,9.78038E+12,English,"['Young Adult', 'Romance', 'Contemporary', 'Fiction', 'Music', 'Realistic Fiction', 'Young Adult', 'Teen', 'Young Adult', 'Young Adult Contemporary', 'Audiobook', 'Womens Fiction', 'Chick Lit']"
400412,The Waste Land and Other Poems,T.S. Eliot,88,1038,4.22,58280,015694877X,9.78016E+12,English,"['Poetry', 'Classics', 'Fiction', 'Literature', 'Literature', '20th Century', 'Literature', 'American', 'Academic', 'School', 'European Literature', 'British Literature', 'Academic', 'College', 'Classics', 'Classic Literature']"
32416,Hannibal Rising,Thomas  Harris,323,2010,3.56,44182,385339410,9.78039E+12,English,"['Horror', 'Fiction', 'Thriller', 'Mystery', 'Crime', 'Mystery', 'Suspense', 'Thriller', 'Mystery Thriller', 'Novels', 'Drama', 'Adult']"
682745,The Basketball Diaries,Jim Carroll,224,566,3.99,30295,,,English,"['Nonfiction', 'Autobiography', 'Memoir', 'Biography', 'Biography', 'Autobiography', 'Thriller', 'Biography Memoir', 'Young Adult', 'Coming Of Age', 'Drama', 'Classics', 'Dark']"
3475268,"White Witch, Black Curse",Kim Harrison,504,1245,4.33,49475,61138010,9.78006E+12,English,"['Fantasy', 'Urban Fantasy', 'Fantasy', 'Fantasy', 'Paranormal', 'Paranormal', 'Vampires', 'Paranormal', 'Witches', 'Fantasy', 'Magic', 'Paranormal', 'Demons', 'Fiction', 'Fantasy', 'Supernatural', 'Romance', 'Paranormal Romance']"
123933,No Exit,Jean-Paul Sartre,60,1581,4.12,31947,573613052,9.78057E+12,English,"['Plays', 'Philosophy', 'Classics', 'Fiction', 'Drama', 'Cultural', 'France', 'Plays', 'Theatre', 'European Literature', 'French Literature', 'Literature', 'Academic', 'School']"
174834,The Cost of Discipleship,Dietrich Bonhoeffer,320,1327,4.27,39865,684815001,9.78068E+12,English,"['Christian', 'Religion', 'Theology', 'Religion', 'Christianity', 'Religion', 'Nonfiction', 'Christian', 'Christian Living', 'Religion', 'Faith', 'Christianity', 'Discipleship', 'Spirituality', 'Classics']"
59980,Batman,Frank Miller,144,3289,4.23,222721,1401207529,9.7814E+12,English,"['Sequential Art', 'Comics', 'Sequential Art', 'Graphic Novels', 'Dc Comics', 'Batman', 'Fiction', 'Superheroes', 'Dc Comics', 'Graphic Novels Comics', 'Comics', 'Comic Book', 'Comics', 'Superheroes', 'Mystery', 'Crime', 'Fantasy']"
1301,Moneyball,Michael   Lewis,317,5333,4.24,115753,393324818,9.78039E+12,English,"['Nonfiction', 'Sports', 'Sports', 'Sports', 'Baseball', 'Business', 'Economics', 'Biography', 'Audiobook', 'History', 'Economics', 'Finance', 'Science']"
142395,Samarkand,Amin Maalouf,304,2041,4.24,24596,1566562937,9.78157E+12,English,"['Fiction', 'Historical', 'Historical Fiction', 'Novels', 'Literature', 'Cultural', 'France', 'Historical', 'Roman', 'Classics', 'Cultural', 'Iran', 'Cultural', 'Lebanon']"
162332,The Sailor Who Fell from Grace with the Sea,Yukio Mishima,181,2466,3.88,27765,,,English,"['Fiction', 'Cultural', 'Japan', 'Asian Literature', 'Japanese Literature', 'Classics', 'Literature', 'Novels', 'Cultural', 'Asia', 'Literature', '20th Century', 'Literature', 'Asian Literature', 'Literary Fiction']"
13891,Winter's Heart,Robert Jordan,780,2623,3.95,115230,081257558X,9.78081E+12,English,"['Fantasy', 'Fiction', 'Fantasy', 'Epic Fantasy', 'Fantasy', 'High Fantasy', 'Science Fiction Fantasy', 'Epic', 'Adventure', 'Audiobook', 'Fantasy', 'Magic', 'Young Adult']"
17348308,My Favorite Mistake,Chelsea M. Cameron,391,2517,3.98,55748,373778295,9.78037E+12,English,"['New Adult', 'Romance', 'Academic', 'College', 'Contemporary', 'Romance', 'Contemporary Romance', 'Young Adult', 'Womens Fiction', 'Chick Lit', 'Adult', 'Love', 'Fiction']"
12753231,Monument 14,Emmy Laybourne,304,3073,3.9,22745,312569033,9.78031E+12,English,"['Young Adult', 'Science Fiction', 'Dystopia', 'Science Fiction', 'Apocalyptic', 'Post Apocalyptic', 'Adventure', 'Survival', 'Fiction', 'Science Fiction', 'Apocalyptic', 'Young Adult', 'Teen', 'Adventure', 'Fantasy']"
23305614,Finding Audrey,Sophie Kinsella,286,9427,3.76,75863,553536516,9.78055E+12,English,"['Young Adult', 'Contemporary', 'Romance', 'Fiction', 'Health', 'Mental Health', 'Womens Fiction', 'Chick Lit', 'Audiobook', 'Mental Health', 'Mental Illness', 'Realistic Fiction', 'Young Adult', 'Young Adult Contemporary']"
11013,Finnegans Wake,James Joyce,628,1065,3.67,12037,571217354,9.78057E+12,English,"['Fiction', 'Classics', 'Literature', 'Cultural', 'Ireland', 'European Literature', 'Irish Literature', 'Novels', 'Literary Fiction', 'Literature', '20th Century', 'Classics', 'Classic Literature', 'Unfinished']"
12187,"Ada, or Ardor",Vladimir Nabokov,606,857,4.14,10311,679725229,9.78068E+12,English,"['Fiction', 'Classics', 'Cultural', 'Russia', 'Literature', 'Novels', 'Literature', 'Russian Literature', 'Romance', 'Literature', '20th Century', 'Literary Fiction', 'Literature', 'American']"
8492856,What Happened to Goodbye,Sarah Dessen,416,4524,3.95,86107,670012947,9.78067E+12,English,"['Young Adult', 'Romance', 'Contemporary', 'Fiction', 'Realistic Fiction', 'Womens Fiction', 'Chick Lit', 'Young Adult', 'Teen', 'Young Adult', 'Young Adult Contemporary', 'Young Adult', 'High School', 'Young Adult', 'Young Adult Romance']"
24856817,Off the Grid,Brian  Courtney,270,29,4.18,375,,9.78099E+12,English,"['New Adult', 'Suspense', 'Thriller', 'Mystery', 'Modern', 'Young Adult', 'Speculative Fiction', 'Adventure', 'Literature', '21st Century', 'Drama']"
14570,Eight Cousins,Louisa May Alcott,224,1212,4.01,36034,486455599,9.78049E+12,English,"['Classics', 'Fiction', 'Young Adult', 'Historical', 'Historical Fiction', 'Childrens', 'Historical', 'Childrens', 'Middle Grade', 'Literature', 'Literature', 'American', 'Childrens', 'Childrens Classics']"
2315892,Best Served Cold,Joe Abercrombie,534,3528,4.19,73861,575082453,9.78058E+12,English,"['Fantasy', 'Fiction', 'Fantasy', 'Epic Fantasy', 'Fantasy', 'Dark Fantasy', 'Adventure', 'Audiobook', 'Fantasy', 'High Fantasy', 'Young Adult', 'Science Fiction Fantasy', 'Adult']"
77711,A Fire Upon the Deep,Vernor Vinge,613,2654,4.13,55286,812515285,9.78081E+12,English,"['Science Fiction', 'Fiction', 'Space', 'Space Opera', 'Science Fiction Fantasy', 'Hugo Awards', 'Fantasy', 'Space', 'Science Fiction', 'Aliens', 'Speculative Fiction', 'Audiobook']"
13837,Lioness Rampant,Tamora Pierce,384,1811,4.25,87743,689878575,9.78069E+12,English,"['Fantasy', 'Young Adult', 'Fiction', 'Fantasy', 'Magic', 'Adventure', 'Young Adult', 'Young Adult Fantasy', 'Romance', 'Fantasy', 'High Fantasy', 'Childrens', 'Young Adult', 'Teen']"
38822883,Alexander Crowley - A New King in Town,Don Barr,182,16,4.43,822,,B079GRVRN5,English,"['Contemporary', 'Fiction', 'Novels', 'Book Club', 'Drama', 'Fantasy', 'Adventure', 'Adult', 'New Adult', 'Young Adult']"
29981261,The Butterfly Garden,Dot Hutchison,288,13169,4.05,145784,,B016ZNRC0Q,English,"['Thriller', 'Horror', 'Mystery', 'Fiction', 'Thriller', 'Mystery Thriller', 'Mystery', 'Crime', 'Suspense', 'Adult', 'Dark', 'Audiobook']"
227941,Jemima J,Jane Green,373,2679,3.66,115128,767905180,9.78077E+12,English,"['Womens Fiction', 'Chick Lit', 'Fiction', 'Romance', 'Contemporary', 'Adult', 'Romance', 'Contemporary Romance', 'Adult Fiction', 'Humor', 'European Literature', 'British Literature', 'Womens Fiction']"
315425,In Defense of Food,Michael Pollan,205,8156,4.06,110829,1594201455,9.78159E+12,English,"['Nonfiction', 'Food and Drink', 'Food', 'Health', 'Science', 'Health', 'Nutrition', 'Audiobook', 'Food and Drink', 'Cooking', 'Environment', 'Food and Drink', 'Foodie', 'Environment', 'Sustainability']"
12425532,Of Poseidon,Anna Banks,324,4653,4,49164,1250003326,9.78125E+12,English,"['Fantasy', 'Young Adult', 'Romance', 'Mythology', 'Mermaids', 'Fantasy', 'Paranormal', 'Fantasy', 'Mythology', 'Romance', 'Paranormal Romance', 'Fiction', 'Fantasy', 'Supernatural', 'Young Adult', 'Young Adult Fantasy']"
17262100,The Lowland,Jhumpa Lahiri,340,8575,3.86,89530,307265749,9.78031E+12,English,"['Fiction', 'Cultural', 'India', 'Historical', 'Historical Fiction', 'Literary Fiction', 'Novels', 'Contemporary', 'Cultural', 'Asia', 'Audiobook', 'Literature', 'Asian Literature', 'Indian Literature']"
17699853,Chain of Gold,Cassandra Clare,592,10964,4.45,70776,1481431870,9.78148E+12,English,"['Fantasy', 'Young Adult', 'Romance', 'Historical', 'Historical Fiction', 'Young Adult', 'Young Adult Fantasy', 'Fantasy', 'Paranormal', 'Fantasy', 'Urban Fantasy', 'Historical', 'Fiction', 'LGBT']"
48557706,The Curse of Cardoness,Malcolm McCoard,212,2,4.77,30,168701972X,9.78169E+12,English,[]
295649,Bloody Jack,L.A. Meyer,304,2459,4.1,25724,015205085X,9.78015E+12,English,"['Historical', 'Historical Fiction', 'Young Adult', 'Adventure', 'Adventure', 'Pirates', 'Fiction', 'Historical', 'Audiobook', 'Young Adult', 'Teen', 'Romance', 'Fantasy']"
210329,The Dark Is Rising,Susan Cooper,272,2626,4.05,53295,1416949658,9.78142E+12,English,"['Fantasy', 'Young Adult', 'Fiction', 'Childrens', 'Childrens', 'Middle Grade', 'Adventure', 'Classics', 'Fantasy', 'Magic', 'Mythology', 'Arthurian', 'Science Fiction Fantasy']"
83346,Through the Looking-Glass and What Alice Found There,Lewis Carroll,228,3760,4.04,126134,688120490,9.78069E+12,English,"['Classics', 'Fantasy', 'Fiction', 'Childrens', 'Young Adult', 'Adventure', 'Literature', 'Childrens', 'Middle Grade', 'Literature', '19th Century', 'Audiobook']"
34927038,The Ways of Autumn,William Graney,337,7,4.36,154,1521099499,9.78152E+12,English,['Contemporary']
12499290,The Blinding Knife,Brent Weeks,671,2713,4.41,80303,031607991X,9.78032E+12,English,"['Fantasy', 'Fantasy', 'Epic Fantasy', 'Fiction', 'Fantasy', 'High Fantasy', 'Fantasy', 'Magic', 'Audiobook', 'Adventure', 'Young Adult', 'Adult', 'Epic']"
30244626,4 3 2 1,Paul Auster,866,3643,3.93,24722,1627794468,9.78163E+12,English,"['Fiction', 'Historical', 'Historical Fiction', 'Contemporary', 'Literary Fiction', 'Novels', 'Literature', 'Literature', 'American', 'American', 'Americana', 'Audiobook', 'The United States Of America']"
4138,Naked,David Sedaris,304,5940,4.08,253643,,,English,"['Humor', 'Nonfiction', 'Autobiography', 'Memoir', 'Writing', 'Essays', 'Short Stories', 'Humor', 'Comedy', 'Biography', 'Audiobook', 'Biography Memoir', 'LGBT']"
91476,Grave Peril,Jim Butcher,378,6183,4.14,151060,451458443,9.78045E+12,English,"['Fantasy', 'Fantasy', 'Urban Fantasy', 'Fiction', 'Mystery', 'Fantasy', 'Paranormal', 'Fantasy', 'Magic', 'Audiobook', 'Paranormal', 'Vampires', 'Fantasy', 'Supernatural', 'Science Fiction Fantasy']"
715834,The Apprentice,Tess Gerritsen,376,2347,4.13,57091,345447867,9.78035E+12,English,"['Mystery', 'Thriller', 'Mystery', 'Crime', 'Fiction', 'Suspense', 'Thriller', 'Mystery Thriller', 'Mystery', 'Detective', 'Audiobook', 'Mystery', 'Murder Mystery', 'Adult']"
6555517,The Dead-Tossed Waves,Carrie Ryan,416,2707,3.91,30396,385736843,9.78039E+12,English,"['Young Adult', 'Horror', 'Zombies', 'Science Fiction', 'Dystopia', 'Horror', 'Fantasy', 'Apocalyptic', 'Post Apocalyptic', 'Fiction', 'Romance', 'Fantasy', 'Paranormal', 'Science Fiction']"
6584188,It's Not Summer Without You,Jenny Han,275,6901,4.04,135614,1416995552,9.78142E+12,English,"['Young Adult', 'Romance', 'Contemporary', 'Fiction', 'Womens Fiction', 'Chick Lit', 'Realistic Fiction', 'Young Adult', 'Young Adult Contemporary', 'Young Adult', 'Young Adult Romance', 'Young Adult', 'Teen', 'Romance', 'Contemporary Romance']"
13486122,The Marriage Bargain,Jennifer Probst,160,4458,3.8,108402,1937044963,9.78194E+12,English,"['Romance', 'Romance', 'Contemporary Romance', 'Contemporary', 'Adult', 'Womens Fiction', 'Chick Lit', 'Adult Fiction', 'Erotica', 'New Adult', 'Fiction', 'Humor', 'Love']"
32628,The Great and Secret Show,Clive Barker,658,761,4.06,29262,006093316X,9.78006E+12,English,"['Horror', 'Fantasy', 'Fiction', 'Fantasy', 'Dark Fantasy', 'Science Fiction', 'Thriller', 'Novels', 'Fantasy', 'Urban Fantasy', 'Fantasy', 'Supernatural', 'Suspense']"
55399,Gardens of the Moon,Steven Erikson,657,6540,3.9,101612,765348780,9.78077E+12,English,"['Fantasy', 'Fiction', 'Fantasy', 'Epic Fantasy', 'Fantasy', 'High Fantasy', 'Epic', 'Science Fiction Fantasy', 'Fantasy', 'Dark Fantasy', 'Fantasy', 'Magic', 'Adult', 'Young Adult']"
13581990,The Eternity Cure,Julie Kagawa,434,3315,4.2,37771,373210698,9.78037E+12,English,"['Paranormal', 'Vampires', 'Young Adult', 'Fantasy', 'Fantasy', 'Paranormal', 'Science Fiction', 'Dystopia', 'Romance', 'Fantasy', 'Urban Fantasy', 'Apocalyptic', 'Post Apocalyptic', 'Fantasy', 'Supernatural', 'Fiction']"
2820533,Deadly Little Secret,Laurie Faria Stolarz,252,1677,3.86,22340,1423111443,9.78142E+12,English,"['Young Adult', 'Fantasy', 'Paranormal', 'Mystery', 'Fantasy', 'Romance', 'Fiction', 'Fantasy', 'Supernatural', 'Romance', 'Paranormal Romance', 'Young Adult', 'Teen', 'Thriller']"
293625,Child of God,Cormac McCarthy,197,2872,3.82,39752,679728740,9.78068E+12,English,"['Fiction', 'Horror', 'Gothic', 'Southern Gothic', 'Novels', 'Literature', 'Literature', 'American', 'Gothic', 'Mystery', 'Crime', 'Literary Fiction', 'American', 'Southern']"
2157243,Playing with Fire,Derek Landy,389,1478,4.3,27589,61240885,9.78006E+12,English,"['Fantasy', 'Young Adult', 'Fantasy', 'Urban Fantasy', 'Fiction', 'Fantasy', 'Magic', 'Mystery', 'Adventure', 'Childrens', 'Middle Grade', 'Fantasy', 'Paranormal', 'Humor']"
40776860,Midnight Sacrifice,Melinda Leigh,315,386,4.21,17272,,B009EWCLHA,English,"['Romance', 'Romantic Suspense', 'Mystery', 'Romance', 'Suspense', 'Thriller', 'Mystery', 'Crime', 'Fiction', 'Contemporary', 'Thriller', 'Mystery Thriller', 'Audiobook']"
58295407,Casanova and the Devil's Doorbell,Harry F. MacDonald,213,10,4.32,949,,B08P7KJ41R,English,"['Fiction', 'Contemporary', 'Drama', 'Novels', 'Epic']"
5346,The Last Juror,John Grisham,278,2553,3.91,91870,385339682,9.78039E+12,English,"['Fiction', 'Mystery', 'Thriller', 'Mystery', 'Crime', 'Thriller', 'Legal Thriller', 'Suspense', 'Thriller', 'Mystery Thriller', 'Drama', 'Novels', 'Law']"
55428,Goodbye to All That,Robert Graves,281,722,3.88,14629,,,English,"['Nonfiction', 'History', 'Biography', 'Autobiography', 'Memoir', 'War', 'War', 'World War I', 'Classics', 'Biography', 'Autobiography', 'Biography Memoir', 'Literature', '20th Century']"
240976,The Book of Laughter and Forgetting,Milan Kundera,313,2252,3.98,43736,60932147,9.78006E+12,English,"['Fiction', 'European Literature', 'Czech Literature', 'Literature', 'Novels', 'Philosophy', 'Classics', 'Short Stories', 'Literary Fiction', 'Contemporary', 'Literature', '20th Century']"
32638,The Thief of Always,Clive Barker,225,2057,4.2,29805,60177241,9.78006E+12,English,"['Fantasy', 'Horror', 'Fiction', 'Young Adult', 'Childrens', 'Childrens', 'Middle Grade', 'Adventure', 'Fantasy', 'Supernatural', 'Fantasy', 'Dark Fantasy', 'Novels']"
45220,I Never Promised You a Rose Garden,Hannah  Green,288,1076,3.87,29440,451160312,9.78045E+12,English,"['Fiction', 'Psychology', 'Young Adult', 'Health', 'Mental Health', 'Mental Health', 'Mental Illness', 'Classics', 'Contemporary', 'Novels', 'Realistic Fiction', 'Literature']"
13324841,Son,Lois Lowry,393,9072,3.98,91207,547887205,9.78055E+12,English,"['Young Adult', 'Science Fiction', 'Dystopia', 'Fiction', 'Fantasy', 'Science Fiction', 'Childrens', 'Middle Grade', 'Classics', 'Audiobook', 'Childrens', 'Young Adult', 'Teen']"
153795,Squire,Tamora Pierce,400,922,4.27,51349,,,English,"['Fantasy', 'Young Adult', 'Fiction', 'Young Adult', 'Young Adult Fantasy', 'Adventure', 'Fantasy', 'Magic', 'Fantasy', 'High Fantasy', 'Childrens', 'Young Adult', 'Teen', 'Science Fiction Fantasy']"
61264,Silk,Alessandro Baricco,91,3745,3.85,45893,375703829,9.78038E+12,English,"['Fiction', 'Historical', 'Historical Fiction', 'European Literature', 'Italian Literature', 'Romance', 'Cultural', 'Japan', 'Cultural', 'Italy', 'Historical', 'Novels', 'Literature', 'Contemporary']"
17797344,Dr. Seuss's ABC,Dr. Seuss,24,1544,4.1,45453,385375166,9.78039E+12,English,"['Childrens', 'Childrens', 'Picture Books', 'Fiction', 'Classics', 'Poetry', 'Kids', 'Fantasy', 'Humor', 'Childrens', 'Juvenile', 'Academic', 'School']"
6345193,Invisible,Paul Auster,308,1468,3.72,19346,805090800,9.78081E+12,English,"['Fiction', 'Contemporary', 'Literature', 'American', 'Literature', 'Novels', 'Literary Fiction', 'The United States Of America', 'Mystery', 'New York', 'Roman']"
9591398,The Girl Who Circumnavigated Fairyland in a Ship of Her Own Making,Catherynne M. Valente,247,5650,3.93,40084,312649614,9.78031E+12,English,"['Fantasy', 'Young Adult', 'Childrens', 'Middle Grade', 'Fiction', 'Childrens', 'Adventure', 'Fantasy', 'Fairy Tales', 'Fantasy', 'Dragons', 'Fantasy', 'Magic', 'Science Fiction Fantasy']"
3465,Three Weeks With My Brother,Nicholas Sparks,368,3135,4.02,43497,446694851,9.78045E+12,English,"['Nonfiction', 'Autobiography', 'Memoir', 'Biography', 'Travel', 'Romance', 'Biography Memoir', 'Biography', 'Autobiography', 'Adult', 'Audiobook', 'Womens Fiction', 'Chick Lit']"
452244,Lost Souls,Poppy Z. Brite,356,790,3.9,16955,440212812,9.78044E+12,English,"['Horror', 'Paranormal', 'Vampires', 'Fiction', 'Fantasy', 'LGBT', 'Fantasy', 'Paranormal', 'Gothic', 'Fantasy', 'Supernatural', 'Fantasy', 'Urban Fantasy', 'Romance', 'M M Romance']"
17573685,The Feminine Mystique,Betty Friedan,562,1734,3.86,25511,393346781,9.78039E+12,English,"['Feminism', 'Nonfiction', 'Classics', 'History', 'Womens', 'Philosophy', 'Sociology', 'Gender', 'Politics', 'Gender', 'Gender Studies']"
33125772,Ramonst,A.F. Knott,271,22,4.49,412,,B01N8W8OFC,English,"['Fiction', 'Contemporary', 'Drama', 'Novels', 'Book Club', 'Dark']"
50281680,Murder in the Coven,Malcolm McCoard,141,0,4.86,28,,B083BZWWGS,English,[]
74270,Luck in the Shadows,Lynn Flewelling,479,1306,4.09,19735,553575422,9.78055E+12,English,"['Fantasy', 'LGBT', 'Romance', 'M M Romance', 'Fiction', 'Romance', 'Fantasy', 'High Fantasy', 'LGBT', 'Queer', 'Fantasy', 'Magic', 'Adventure', 'LGBT', 'Gay']"
6604209,Mistborn Trilogy Boxed Set,Brandon Sanderson,2176,1429,4.58,46221,076536543X,9.78077E+12,English,"['Fantasy', 'Fiction', 'Fantasy', 'Epic Fantasy', 'Science Fiction Fantasy', 'Fantasy', 'Magic', 'Fantasy', 'High Fantasy', 'Science Fiction', 'Epic', 'Adventure', 'Novels']"
52735921,Kingdom of the Wicked,Kerri Maniscalco,372,12664,4,96605,316428469,9.78032E+12,English,"['Fantasy', 'Young Adult', 'Romance', 'Fantasy', 'Paranormal', 'Young Adult', 'Young Adult Fantasy', 'Historical', 'Historical Fiction', 'Paranormal', 'Witches', 'Mystery', 'Fiction', 'Fantasy', 'Magic']"
2179276,The Time Paradox,Eoin Colfer,391,2372,4.08,86114,,,English,"['Fantasy', 'Young Adult', 'Fiction', 'Science Fiction', 'Adventure', 'Childrens', 'Middle Grade', 'Fantasy', 'Magic', 'Childrens', 'Fantasy', 'Urban Fantasy', 'Science Fiction', 'Time Travel']"
1814843,The Siege of Macindaw,John Flanagan,320,1619,4.34,60384,174166134X,9.78174E+12,English,"['Fantasy', 'Young Adult', 'Adventure', 'Fiction', 'Childrens', 'Middle Grade', 'Action', 'Young Adult', 'Young Adult Fantasy', 'Historical', 'Medieval', 'Childrens', 'Young Adult', 'Teen']"
